LoanID,loan_amnt,funded_amnt,funded_amnt_inv,sub_grade,term,emp_length,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,Output
LoanID17563299,7200,7200,7150.0,21,36,2,12.99,37000.0,13.43,0,0,73,50,11,1,6392,32.0,28,1047.06,0.0,0.0,0.0,0,47,70,0,0,8589.0,19800,1
LoanID10317534,19200,19200,19175.0,2,36,1,6.62,250000.0,25.86,0,1,31,70,9,0,28912,87.3,23,1785.13,0.0,0.0,0.0,0,44,104,0,0,447388.0,33100,1
LoanID50609137,15000,15000,15000.0,4,36,3,6.92,90000.0,29.68,0,1,31,70,16,0,24129,48.4,31,624.8,0.0,0.0,0.0,0,44,35,0,0,114298.0,49900,0
LoanID70008968,4000,4000,4000.0,34,36,2,17.57,20000.0,30.79,0,0,31,70,9,0,6336,58.1,9,52.71,0.0,0.0,0.0,0,44,4,0,0,31445.0,10900,0
LoanID62465075,30000,30000,30000.0,13,60,10,9.99,180000.0,14.63,0,0,31,70,13,0,82208,69.6,25,1046.14,0.0,0.0,0.0,0,44,17,0,0,391749.0,94100,0
LoanID15319948,35000,35000,35000.0,31,60,8,16.59,480000.0,13.05,0,1,31,70,10,0,48777,70.7,24,8960.72,0.0,0.0,0.0,0,44,91,0,0,1385358.0,69000,0
LoanID66482134,6000,6000,6000.0,22,36,2,12.69,40000.0,13.11,0,0,33,70,18,0,4776,97.5,34,177.5,0.0,0.0,0.0,0,44,13,0,0,68057.0,4900,0
LoanID69834413,20000,20000,20000.0,11,36,9,8.18,50000.0,3.07,1,0,23,70,4,0,6485,52.7,14,127.24,0.0,0.0,0.0,0,44,9,0,0,6485.0,12300,0
LoanID69859111,12600,12600,12600.0,14,60,10,10.99,76600.0,7.19,0,1,31,70,11,0,3704,12.3,14,107.7,0.0,0.0,0.0,0,44,4,0,0,23697.0,30200,0
LoanID51096102,10000,10000,10000.0,43,60,6,19.52,29500.0,6.59,0,1,50,70,6,0,4890,54.9,18,1147.08,0.0,0.0,0.0,0,50,31,0,0,4890.0,8900,0
LoanID31177698,5000,5000,5000.0,23,36,6,13.98,19000.0,13.9,0,0,31,70,7,0,5422,82.2,12,728.43,0.0,0.0,0.0,0,44,65,0,50,5422.0,6600,0
LoanID72929339,10000,10000,10000.0,25,60,10,14.85,45000.0,26.76,0,0,25,70,14,0,17916,48.3,28,0.0,0.0,0.0,0.0,0,44,48,0,0,176391.0,37100,0
LoanID64856289,10000,10000,10000.0,42,60,3,18.55,27000.0,14.13,0,0,31,70,5,0,10707,64.1,5,448.67,0.0,0.0,0.0,0,44,13,0,0,10707.0,16700,0
LoanID46875834,33150,33150,33150.0,44,60,10,20.49,70000.0,32.61,0,0,31,70,26,0,40674,65.2,37,4851.01,0.0,0.0,0.0,0,44,39,0,0,141797.0,62400,0
LoanID46475985,5500,5500,5500.0,21,36,10,12.29,25000.0,11.91,0,0,31,72,11,1,4299,78.2,21,455.2,0.0,0.0,0.0,0,44,39,0,0,53454.0,5500,0
LoanID40524311,28000,28000,28000.0,5,36,0,8.19,84000.0,12.73,0,1,31,70,18,0,17081,36.7,48,1956.66,0.0,0.0,0.0,0,44,52,0,0,229995.0,46500,0
LoanID40996048,12600,12600,12600.0,33,36,10,16.49,35000.0,22.38,1,1,6,70,11,0,6981,26.2,18,1795.45,0.0,0.0,0.0,0,44,52,0,0,13054.0,26600,0
LoanID34160308,10000,10000,10000.0,5,36,2,8.39,98000.0,3.09,0,0,72,70,8,0,9875,30.5,13,412.4,0.0,0.0,0.0,0,44,35,0,0,42542.0,32400,1
LoanID5607481,17900,17900,17900.0,33,36,3,18.75,114500.0,23.11,1,5,13,70,18,0,40381,70.5,38,1830.04,0.0,0.0,0.0,0,44,31,0,0,624417.0,57300,1
LoanID53281867,4850,4850,4850.0,33,36,10,16.99,53000.0,26.49,0,0,26,70,8,0,9002,95.8,17,444.36,0.0,0.0,0.0,0,44,35,0,0,38829.0,9400,0
LoanID66959476,10725,10725,10725.0,21,36,9,12.29,28200.0,38.43,0,1,31,70,15,0,24196,33.2,27,277.95,0.0,0.0,0.0,0,44,13,0,0,28163.0,72900,0
LoanID1561871,20000,20000,19725.0,15,36,4,13.67,168000.0,22.32,0,0,41,70,5,0,24080,80.0,19,4255.21,68.04,750.11,134.7958,0,44,135,0,0,80669.5,23700,0
LoanID16592115,10000,10000,10000.0,12,36,7,10.99,125000.0,18.05,4,1,19,70,21,0,11639,51.7,55,1336.13,0.0,0.0,0.0,0,44,83,0,0,421664.0,22500,1
LoanID49704338,6400,6400,6400.0,22,36,0,12.69,42000.0,37.21,0,1,31,70,9,0,15455,76.9,29,466.13,0.0,0.0,0.0,0,44,31,0,0,71646.0,20100,1
LoanID1732493,4950,4950,4950.0,24,60,2,16.29,24000.0,16.82,1,1,22,70,12,0,8312,45.7,19,1388.24,0.0,0.0,0.0,0,22,104,0,0,8312.0,18200,0
LoanID1718233,12000,12000,12000.0,1,36,10,6.03,128000.0,10.85,0,1,31,70,6,0,37908,51.2,27,806.36,0.0,0.0,0.0,0,44,74,0,0,311014.0,74000,1
LoanID52145013,20000,20000,20000.0,22,36,10,12.69,160000.0,4.1,1,2,4,118,14,1,755,1.7,36,1538.96,0.0,0.0,0.0,0,66,35,0,805,234697.0,43300,0
LoanID61594927,7275,7275,7275.0,4,36,10,7.26,130000.0,16.63,0,2,31,70,14,0,9287,71.4,51,203.15,0.0,0.0,0.0,0,44,22,0,0,290962.0,13000,0
LoanID67069572,20200,20200,20200.0,12,36,10,9.17,59000.0,21.84,0,1,46,70,8,0,6560,19.5,18,366.73,0.0,0.0,0.0,0,44,13,0,0,195008.0,33600,0
LoanID14481374,16800,16800,16750.0,52,60,0,24.08,86000.0,6.57,0,2,31,70,7,0,13166,70.0,9,6634.89,0.0,0.0,0.0,0,44,96,0,0,13166.0,18800,0
LoanID56742106,35000,35000,34925.0,31,60,10,15.61,78500.0,11.48,0,0,31,70,12,0,34752,38.4,27,2194.09,0.0,0.0,0.0,0,44,22,0,0,34752.0,90600,0
LoanID59611678,6000,6000,6000.0,23,36,3,13.33,70000.0,9.02,2,1,13,70,9,0,12027,36.6,23,309.03,0.0,0.0,0.0,0,17,26,0,0,359326.0,32900,0
LoanID37396374,10700,10700,10700.0,24,60,6,14.31,32100.0,27.29,0,0,33,70,11,0,2558,45.7,25,1637.68,0.0,0.0,0.0,0,44,61,0,0,137019.0,5600,0
LoanID66382791,25000,25000,25000.0,5,60,2,7.89,95000.0,12.98,0,0,31,70,12,0,11533,15.9,24,464.46,0.0,0.0,0.0,0,44,13,0,0,235231.0,72600,0
LoanID10350023,12800,12800,12800.0,14,36,10,12.99,150000.0,12.63,1,2,6,70,8,0,25218,40.2,29,2477.45,0.0,0.0,0.0,0,44,113,0,0,161107.0,62800,0
LoanID36434927,28000,28000,28000.0,11,36,2,8.67,125000.0,30.44,0,0,31,70,10,0,68178,78.4,25,752.44,0.0,0.0,0.0,0,44,17,0,0,316510.0,87000,0
LoanID63110232,17000,17000,16950.0,13,36,0,9.99,110000.0,13.6,1,2,18,70,17,0,8350,15.3,36,573.96,0.0,0.0,0.0,0,18,17,0,5005,22198.0,54500,0
LoanID6048478,15000,15000,15000.0,12,36,4,11.14,60000.0,20.08,0,1,31,70,15,0,15028,68.0,31,1346.4,0.0,0.0,0.0,0,44,48,0,0,272177.0,22100,1
LoanID50976064,20000,20000,20000.0,24,60,1,13.99,65000.0,11.71,0,1,31,70,7,0,1108,5.5,11,1772.23,0.0,0.0,0.0,0,44,35,0,0,124248.0,20000,0
LoanID10557234,24000,24000,24000.0,31,60,9,17.76,128000.0,16.33,0,2,31,70,17,0,34211,53.7,36,1397.91,0.0,0.0,0.0,0,44,17,0,0,442155.0,63700,1
LoanID1665246,16000,16000,15975.0,1,36,4,6.03,75000.0,4.83,0,0,31,70,6,0,1079,2.9,8,1438.43,0.0,0.0,0.0,0,44,117,0,0,80669.5,23700,1
LoanID1604702,35000,35000,34975.0,35,36,10,19.72,140000.0,30.35,0,1,36,70,16,0,88474,80.1,47,11640.25,0.0,0.0,0.0,0,44,156,0,0,80669.5,23700,1
LoanID33740183,30000,30000,30000.0,34,60,10,17.57,99500.0,27.9,0,0,31,70,11,0,9158,63.6,39,6012.87,0.0,0.0,0.0,0,44,65,0,0,447154.0,14400,0
LoanID38670667,19200,19200,19200.0,35,60,2,17.86,65000.0,16.36,0,2,31,70,23,0,22211,35.7,35,3378.59,0.0,0.0,0.0,0,44,61,0,170,46867.0,62200,1
LoanID9897643,5375,5375,5375.0,23,36,3,15.61,25000.0,33.57,0,0,31,70,7,0,5624,67.8,10,1262.92,0.0,0.0,0.0,0,44,113,0,53,28862.0,8300,0
LoanID13688307,25250,25250,25250.0,23,36,0,14.64,72000.0,12.8,0,0,31,106,7,1,11965,76.2,15,4496.77,0.0,0.0,0.0,0,44,82,0,0,250586.0,15700,1
LoanID72268079,7200,7200,7200.0,25,36,2,14.48,39750.0,19.66,0,3,26,47,15,1,2353,78.4,18,81.09,0.0,0.0,0.0,0,26,4,0,0,58396.0,3000,0
LoanID48392080,18000,18000,18000.0,25,60,9,14.65,90000.0,14.8,0,1,31,70,8,0,10060,58.2,24,1855.66,0.0,0.0,0.0,0,44,39,0,0,223151.0,17300,0
LoanID1605934,1000,1000,1000.0,13,36,8,12.12,40000.0,31.77,0,0,31,70,12,0,15686,93.4,21,197.41,0.0,0.0,0.0,0,44,156,0,0,80669.5,23700,1
LoanID42183408,14450,14450,14450.0,35,36,3,17.86,40000.0,24.96,0,0,51,70,13,0,23539,70.7,27,2089.08,0.0,0.0,0.0,0,44,48,0,0,103681.0,33300,0
LoanID51834982,18225,18225,18225.0,32,36,3,16.55,48000.0,6.98,0,0,31,70,7,0,5596,53.3,20,1625.84,0.0,0.0,0.0,0,44,31,0,0,123905.0,10500,0
LoanID72539472,20000,20000,20000.0,23,36,8,13.18,84000.0,25.81,0,0,44,70,13,0,31858,79.2,27,0.0,0.0,0.0,0.0,0,44,48,0,0,405177.0,40200,0
LoanID61626318,12000,12000,12000.0,14,36,2,10.99,55000.0,27.3,0,1,75,70,17,0,15289,44.4,63,390.28,0.0,0.0,0.0,0,44,17,0,0,77893.0,34400,0
LoanID1908703,25000,25000,25000.0,55,60,7,23.83,65000.0,12.42,0,3,31,70,10,0,22459,85.1,19,11647.23,0.0,0.0,0.0,0,44,122,0,0,22459.0,26400,1
LoanID57896812,5000,5000,5000.0,22,36,10,12.69,77000.0,14.5,2,4,18,93,17,1,6981,45.0,25,295.25,0.0,0.0,0.0,0,89,26,0,0,174517.0,15550,0
LoanID11037470,17000,17000,17000.0,1,36,7,6.03,88300.0,11.05,0,0,31,70,17,0,21498,18.1,36,1428.27,0.0,0.0,0.0,0,44,104,0,0,244772.0,118600,0
LoanID32547839,28000,28000,28000.0,21,36,1,12.99,62400.0,12.58,0,2,31,70,3,0,22602,97.0,14,3763.35,0.0,0.0,0.0,0,44,65,0,0,23784.0,23300,0
LoanID59681056,20000,20000,20000.0,25,36,10,14.65,90000.0,11.2,0,2,46,70,14,0,18497,67.4,22,1133.19,0.0,0.0,0.0,0,54,26,0,0,28233.0,27500,0
LoanID24675779,20000,20000,20000.0,14,36,6,11.67,103320.0,15.17,1,1,16,70,17,0,19612,44.7,48,2658.26,0.0,0.0,0.0,0,44,74,0,0,27435.0,43900,0
LoanID55176132,12500,12500,12500.0,35,60,10,17.86,75000.0,12.14,0,0,31,53,8,1,9813,76.0,35,1235.69,0.0,0.0,0.0,0,50,31,0,0,275755.0,12950,0
LoanID49902505,4200,4200,4200.0,42,36,8,18.84,43000.0,24.37,1,2,6,70,15,0,7177,44.3,29,478.95,0.0,0.0,0.0,0,44,35,0,405,142744.0,16200,0
LoanID53121843,16100,16100,16100.0,44,60,5,19.99,35000.0,30.86,0,0,31,70,9,0,13731,57.9,16,1775.76,0.0,0.0,0.0,0,44,31,0,0,37237.0,23700,0
LoanID52731903,15450,15450,15450.0,23,36,6,13.33,33600.0,38.9,3,1,16,70,9,0,4548,19.1,24,1106.41,0.0,0.0,0.0,0,22,31,0,0,15017.0,23800,0
LoanID1791082,20000,20000,20000.0,21,60,1,14.33,87600.0,18.08,0,0,47,70,7,0,7055,81.1,30,7040.79,0.0,0.0,0.0,0,44,174,0,0,408391.0,8700,0
LoanID68379373,24000,24000,23625.0,41,60,10,18.2,70000.0,31.8,2,2,11,70,15,0,45065,96.3,34,687.84,0.0,0.0,0.0,0,44,9,0,0,106591.0,46800,0
LoanID12438167,17000,17000,17000.0,45,60,10,23.4,54000.0,18.89,0,2,52,70,15,0,14638,77.0,24,6163.79,24.16,0.0,0.0,0,52,91,0,0,35398.0,19000,1
LoanID15349020,1500,1500,1500.0,23,36,2,14.64,40000.0,15.54,0,0,26,70,3,0,0,56.0,20,0.0,0.0,0.0,0.0,0,35,48,0,0,24895.0,0,0
LoanID690194,8000,8000,7950.0,11,36,2,10.38,50004.0,23.88,0,2,31,70,8,0,13964,57.5,22,330.23,29.95057476,318.09,3.2,0,44,26,0,0,80669.5,23700,0
LoanID65657401,25000,25000,25000.0,13,60,10,9.99,60000.0,29.91,0,0,31,70,13,0,29517,66.8,27,602.41,0.0,0.0,0.0,0,44,13,0,0,68650.0,44200,0
LoanID44797081,12000,12000,12000.0,14,36,10,10.99,52000.0,12.83,0,0,41,70,6,0,2145,37.0,21,972.18,0.0,0.0,0.0,0,41,44,0,6738,239603.0,5800,0
LoanID43345435,17500,17500,17500.0,32,36,4,15.99,88000.0,11.56,1,1,14,70,12,0,10940,49.1,19,2242.53,0.0,0.0,0.0,0,44,52,0,0,605585.0,22300,0
LoanID60870211,11000,11000,11000.0,5,36,2,7.89,33000.0,11.45,0,0,31,70,12,0,14599,86.4,19,302.65,0.0,0.0,0.0,0,44,17,0,0,139788.0,16900,0
LoanID41056694,35000,35000,35000.0,25,36,4,14.99,100000.0,10.29,0,0,52,70,4,0,41237,48.8,17,4521.11,0.0,0.0,0.0,0,52,52,0,0,41237.0,84500,0
LoanID17864494,25000,25000,25000.0,22,60,6,13.35,56000.0,28.44,0,0,31,70,11,0,20318,65.1,27,4685.77,0.0,0.0,0.0,0,44,87,0,0,186934.0,31200,0
LoanID58651642,6000,6000,6000.0,21,36,10,12.29,75000.0,16.7,0,0,47,81,6,1,5554,37.5,9,338.91,0.0,0.0,0.0,0,47,26,0,0,78372.0,14800,0
LoanID55096072,13200,13200,13200.0,44,60,0,19.99,26400.0,28.18,1,2,9,70,12,0,19628,61.5,24,1398.06,0.0,0.0,0.0,0,44,31,0,0,43807.0,31900,0
LoanID43499970,20000,20000,20000.0,31,36,10,15.61,70000.0,29.64,0,5,31,119,29,1,31478,46.6,40,2517.73,0.0,0.0,0.0,0,44,48,0,0,35449.0,67600,0
LoanID1833376,15000,15000,15000.0,4,60,10,7.9,67000.0,9.9,0,0,31,70,10,0,12938,18.2,23,1411.94,0.0,0.0,0.0,0,44,70,0,0,245928.0,71207,1
LoanID15158671,5950,5950,5950.0,33,36,3,18.25,30000.0,15.48,0,2,32,70,11,0,4110,68.5,17,1458.53,0.0,0.0,0.0,0,32,91,0,0,9943.0,6000,0
LoanID4596617,16000,16000,16000.0,4,36,1,7.9,55000.0,15.61,0,0,31,70,11,0,2497,38.4,20,1990.64,0.0,0.0,0.0,0,44,139,0,0,158699.0,6500,0
LoanID43264838,15000,15000,15000.0,21,60,10,12.39,80000.0,13.49,0,0,31,117,10,1,11744,49.3,13,1576.49,0.0,0.0,0.0,0,44,52,0,0,254138.0,23800,0
LoanID72868375,35000,35000,35000.0,5,36,5,7.89,180000.0,21.95,0,0,31,70,20,0,79466,61.0,43,0.0,0.0,0.0,0.0,0,44,48,0,0,261143.0,130300,0
LoanID34100517,18000,18000,18000.0,5,60,8,8.19,70000.0,19.58,0,0,47,70,14,0,7917,33.0,23,1556.1,0.0,0.0,0.0,0,47,61,0,0,46625.0,24000,0
LoanID55346919,28200,28200,28200.0,54,60,3,24.99,108000.0,16.78,0,0,25,116,13,1,8336,26.9,21,25.46,0.0,0.0,0.0,0,44,0,0,69,220405.0,31000,1
LoanID62774920,7000,7000,7000.0,14,36,5,10.99,70000.0,16.56,1,0,23,70,23,0,6693,13.7,35,238.76,0.0,0.0,0.0,0,44,17,0,0,12172.0,48900,0
LoanID61455690,13000,13000,13000.0,14,36,10,10.99,80000.0,26.62,1,0,16,70,37,0,30844,47.7,59,443.42,0.0,0.0,0.0,0,44,17,0,0,61294.0,64700,0
LoanID58641762,23000,23000,23000.0,14,36,10,10.99,50000.0,20.95,0,0,31,70,12,0,26633,49.3,14,1055.94,0.0,0.0,0.0,0,44,22,0,0,31225.0,54000,0
LoanID72059011,4950,4950,4950.0,42,36,8,18.49,178000.0,7.54,0,0,63,54,7,2,2258,38.9,15,66.1,0.0,0.0,0.0,0,44,4,0,0,38746.0,5800,0
LoanID52105020,7200,7200,7200.0,31,36,2,15.61,60000.0,21.62,2,2,15,29,19,3,11170,25.8,28,605.25,0.0,0.0,0.0,0,19,31,0,0,40749.0,43300,0
LoanID15119593,17000,17000,17000.0,25,60,0,14.99,58000.0,21.06,0,2,31,70,17,0,26730,38.2,37,3262.65,0.0,0.0,0.0,0,44,74,0,0,301791.0,70000,0
LoanID58469858,20000,20000,20000.0,43,60,10,19.19,75000.0,19.12,0,0,31,70,21,0,20237,58.0,47,1848.41,0.0,0.0,0.0,0,44,26,0,0,263725.0,34900,0
LoanID64223684,5050,5050,5050.0,22,36,1,12.69,190000.0,22.3,1,0,1,38,12,1,1480,20.3,23,202.64,0.0,0.0,0.0,0,78,17,1,0,357941.0,7300,0
LoanID49212973,35000,35000,35000.0,51,60,10,22.99,87040.0,16.13,0,1,59,70,14,0,19631,43.1,41,5717.54,0.0,0.0,0.0,0,44,39,0,574,212529.0,45600,0
LoanID38942197,15000,15000,15000.0,32,60,4,15.99,85000.0,10.38,0,1,37,70,8,0,13147,84.3,21,2391.76,0.0,0.0,0.0,0,79,57,0,0,32825.0,15600,0
LoanID7196060,10225,10225,10225.0,11,36,1,10.16,31200.0,10.0,0,0,31,70,7,0,12348,54.2,22,1621.36,0.0,0.0,0.0,0,44,131,0,0,111460.0,22800,0
LoanID60877104,18000,18000,17950.0,13,36,3,9.99,39000.0,9.32,0,0,50,70,5,0,10163,80.7,14,693.1,0.0,0.0,0.0,0,44,22,0,192,10163.0,12600,0
LoanID66831871,28000,28000,28000.0,1,36,8,5.32,72000.0,16.1,0,0,26,70,21,0,11213,12.2,41,292.48,0.0,0.0,0.0,1,26,13,0,0,381787.0,92000,0
LoanID1379776,5700,5700,5700.0,43,60,3,19.42,50000.0,8.9,0,0,43,70,12,0,8009,69.0,29,2576.6,0.0,0.0,0.0,0,44,152,0,0,80669.5,23700,1
LoanID15148247,13000,13000,13000.0,2,36,2,6.62,130000.0,23.37,0,0,31,70,13,0,26163,55.2,36,1113.13,0.0,0.0,0.0,0,44,91,0,0,618061.0,47400,0
LoanID44015895,24000,24000,24000.0,23,60,6,13.33,61000.0,34.51,0,1,44,70,12,0,6681,75.9,38,2735.7,0.0,0.0,0.0,0,44,48,0,0,58182.0,8800,0
